

== MAIN REALM ==

=== CANDYLAND ===

Birthday Cake | effortless | happy birthday! (it isn't your birthday) [Hidden in Candyland]
Sippy | insane | hmmmmmmmmmmmmmmmmmmmmmmmmm (Start in City)
Beanbag | unforgiving | comfiest chair in the world (Start in City)
Credit Card | unforgiving | Okay, so if you just tell me your credit card number as well as the three little numbers on the back, you can get this object! Deal? (Start in City)
Exploding David | unforgiving | ruh roh.. who gave david a bomb head (Start in City)
Onigiri | unforgiving | don't even think about pushing that button... (Start in City)
Weird Speaker Box | extreme | walk a long way after announcer (Start in City)

=== CLASSIC ROBLOX ===

Diploma | effortless | congratulations you graduated high school now it's time for your life to turn to hell (Hidden in Classic Roblox)
Tent | effortless | who gave the tent boxing gloves (Hidden in Classic Roblox)
8 Inch Floppy Disk | easy | haha i didnt make it 8 inches what will you do about it (Hidden in Classic Roblox)
Arron | easy | arron my beloved (Hidden in Classic Roblox)
Fish | easy | blub blub blub (Hidden in Classic Roblox)
Magician Hat | easy | everyone knows the famous spell, "yaba daba doo" (Hidden in Classic Roblox)
Swing | easy | does this even remotely resemble a swing?? (Hidden in Classic Roblox)
BFDI Marker | normal | funny how this is the 3rd marker-related object in the game (Hidden in Classic Roblox)
Cookie Pizza | normal | ... maybe it's a good thing they're hidden... (Hidden in Classic Roblox)
S'mores Milkshake | normal | smores are yummy and milkshakes are yummy, so why not? (Hidden in Classic Roblox)
Triangle | normal | why are they so mad what went wrong (Hidden in Classic Roblox)
Bermuda | moderate | make sure you don't get sucked in by them (Start in Classic Roblox) (Made by AccountDoesNothing)
Canadian Flag | moderate | it still looks better than the canadian flag in r/place (Hidden in Classic Roblox)
Chicken Nugget | moderate | do you want free chicken nuggets (Hidden in Classic Roblox. Start at Hotel.)
Computer Mouse | moderate | this one is actually not where you'd expect it to be (Hidden in Classic Roblox)
Isabella | moderate | i don't get it... it's just a purple ball (Hidden in Classic Roblox)
Keytar | moderate | rock away little keyboard guy!!!! (Hidden in Classic Roblox)
Rutabaga | moderate | (Hidden in Classic Roblox)
Zipper | moderate | they're so little (Hidden in Classic Roblox)
Bird | intermediate | hoot hoot tweet tweet (Hidden in Classic Roblox)
Mail | intermediate | you've got mail (Hidden in Classic Roblox)
Meteor | intermediate | OH GOD WE'RE ALL GOING TO DIE!!!!!!!!!!!!! (Hidden in Classic Roblox)
Pea | intermediate | did you eat your peas today (Hidden in Classic Roblox)
Cary | hard | NO WAY IT'S CARY HIMSELF!!! (Hidden in Classic Roblox)
De Stijl | difficult | definitely the artwork of all time (Hidden in Classic Roblox)
Spark Plug | hard | find a way onto a roof (Hidden in Classic Roblox, but start at the Hotel.)

=== DESERT ===

Cactus | effortless | they thought they could blend in lol!!! (Hidden in Desert)
Rusty Coin | effortless | im broke, buy my stuff. (Hidden in Desert)
a | moderate | aaaaaaaa (Hidden in Desert)
Clip | moderate | clipped onto a frame (Hidden in Desert)
Glue | moderate | why would you handstand in glue??? (Hidden in Desert)
Sticker | moderate | you'll never be able to beat this one!!! ruahahahahahahaha!!!!!!!!!!!! (Start in Desert) (Made by 0OFunkyPurple)
Crate | intermediate | what else is there that contains items? (Hidden in Desert)
Sand Jar | intermediate | they definitely hate mondays (Hidden in Desert)
Lemonade | normal | this lemonade is minging (Hidden in Desert)
Plump Dog | normal | plump th dog (Hidden in Desert)
Slug | normal | MAKE IT STOP (Hidden in Desert)
Lava Ball | extreme | >:) (Start in Desert)
Lego Brick | extreme | don't step on it please i'm begging you (Hidden in Desert)
Evil Bubble | extreme | i'm glad that i get to do a key door puzzle. AGAIN. (Hidden in Desert, find a key)
This is Sparta-Y | terrifying | ...madness? (Start in Desert)
Titanium Knife | hard | start by finding a button in desert.

=== FACTORY ===

Match | effortless | the freesmart van noooo!! (Hidden in Factory)
Vote | effortless | vote using the square brackets! [C] for Blob (Hidden at Factory)
Club | easy | (Hidden in Factory)
Fork Repellenty | easy | dropped on the floor (Hidden in Factory)
Tophat | easy | very fancy (Hidden at Factory)
UFO | easy | did you know the population of jupiter is 60,802 (Hidden in Factory)
Crumbley | moderate | nice roof (Hidden in Factory)
Ethernet Splitter | moderate | he's an ethernet splitter while this game is your internet splitter! (Hidden in Factory)
Dreidel | moderate | they go spin (Hidden in Warehouse)
Lever | intermediate | complete an obby at the factory
SD Card | intermediate | find an invisible path near planks of wood (Hidden at Factory)
Yo-Yo | moderate | right next to a mouse hole (Hidden in Factory)
Ruby | normal | check inside the factory area
Robot Flower | normal | behind something, i aint telling you what. (Hidden in Factory)
Diskette | hard | gotta risk it for the diskette (Hidden in Factory)
Irony | hard | insert joke about irony here (Hidden at Factory)
Cave Drawing | normal | a drawing to be forgotten (Hidden in Factory)
Lasagna | difficult | box fan just needs some lasagna (Hidden in Factory)
Firey Speaker Box | unforgiving | gotta complete an obby (Start in Desert)
Robot Teardrop | effortless | being manufactured at the factory
Buzzsaw | normal | It's everyone's favourite object, Bu- hey wait... what are they doing here?! (Hidden in Factory, made by

=== FLOATING ISLAND ===

Fifteen | effortless | LEAVE!!!! (Hidden in Floating Island)
Flower Cake | effortless | OH MY FLOWER CAKE (Hidden in Floating Island)
Flower Jr. | effortless | she's admiring a masterpiece (Hidden in Floating Island)
Scissors | effortless | not sure if you can really just cut a tree down like that (Hidden in Floating Island)
Evil Marker | easy | he doesn't want to play toss the dirt anymore (Hidden in Floating Island)
Limbless Pin | easy | How did she manage to get on there without limbs? (Hidden in Floating Island)
Orb | easy | floating orb, floating island
Fettuccine | normal | the first floating island update in one million years (Hidden in Floating Island) (Made by lowk3y_TJ)
Metal Scrap | normal | more like uhh... metal CRAP. i am a little #edgy (Made by FunkyPurple) (Start in Floating Island)
Blue Lion | intermediate | first yellow leopard, then red elephant, and now THIS? (Hidden in Floating Island)
Chanterelle | intermediate | ah yes the void (Hidden in Floating Island)
Electric Guitar | moderate | ah yes the void (Hidden in Floating Island)
Leek | moderate | behind a tree (Hidden in Floating Island)
Rainbow | moderate | check on the rainbow at floating island
Rainbow Puppy | moderate | yay puppeee (Hidden in Floating Island)
Science Book | moderate | wall wraparound moment (Hidden in Floating Island)
Sock | moderate | all alone under the bed (Hidden in Floating Island)
Jacknjellify | moderate | WHAT (Hidden in Floating Island)
Texas Donut | intermediate | something is off about where succulent is... (Hidden in Floating Island)
Succulent | intermediate | THIS IS NOT HOW GRAVITY WORKS I THINK (Hidden in Floating Island)

=== FOSSIL FALLS ===

Pineapple | effortless | who lives in a pineapple under the sea? (Hidden in Fossil Falls)
Barry | easy | ourple (Hidden in Fossil Falls)
Euro | easy | how much will it cost? not even a euro. (Hidden in Fossil Falls)
Xmas Light | easy | (Hidden in Fossil Falls)
Chestnut | normal | (Hidden in Fossil Falls)
Purple Dragon | normal | that foolish dragon (Hidden in Fossil Falls... you can almost definitely see it.)
Coffee Bean | hard | (Hidden in Fossil Falls)
Mardi Gras Bead | hard | (Hidden in Fossil Falls)
Duffel Bag | moderate | yeah (Hidden in Fossil Falls)
Watermelon Slice | moderate | tree climbing simulator (Hidden in Fossil Falls)

=== GOIKY ===

Anchor | effortless | in the water (Hidden in Goiky)
Bell | effortless | whats at the top? (Hidden in Goiky)
Evil Leafy | effortless | look at that forest, lets go in! (Hidden in Goiky)
Golf Ball | effortless | sitting down is so nice (Hidden in Goiky)
Grassy | effortless | chillin in the grass (Hidden in Goiky)
Leafy | effortless | trees are cool. (Hidden in Goiky)
Pillow | effortless | sleeping. (Hidden in Goiky)
Pumpkin | effortless | behind a tree (Hidden in Goiky)
Strawberry | effortless | they're enjoying a nice feast (Hidden in Goiky)
Tree | effortless | Im a tree, im a tree. (Hidden in Goiky)
Banana Apple | easy | sitting on a tree... (Hidden in Goiky)
Blocky | easy | In an area he probably shouldn't be in. What a delinquent. (Start in Goiky)
Dime | easy | golf ball dropped her dime (Hidden in Goiky)
Needle | easy | needle in a haystack, how original (Hidden in Goiky)
Piney | easy | what do you think pinecones are on?
Profiley | easy | pictures be like (Start in Goiky)
Ropey | easy | they're such a silly slithering little rope (Hidden in Goiky)
Rubber Spatula | easy | being sad at the death of a group. (Hidden in Goiky)
A Duck | moderate | who doesnt play with them in the bath? (Hidden in Goiky)
Acacia Tree | moderate | literally stuck in a tree (Hidden in Number Playground)
Cloudy | moderate | Jump on a few platforms (Hidden in Goiky)
Coiny | moderate | the opposite of where nickel was (Hidden in Goiky)
Eraser | moderate | he's still climbing that string (Start in Goiky)
Steamy | moderate | oh no, a cloudy ripoff!! (Hidden in Goiky)
Taco | moderate | reference to bfb 29 (Hidden in Goiky)
Idoit | intermediate | idoit will never be forgotten (Hidden in Goiky)
Blue Shiny Coiny | intermediate | i've got my own style! (Start in Goiky)
Marimo Ball | hard | talk about camo... (Hidden in Goiky)
Pebble | hard | rocks are merely big pebbles (Start in Goiky)
Jingle Bell | difficult | jingle jingle jingle (Start in Goiky)
Junior | difficult | david jr!!!!! real!!!! (Start in Goiky)
Long Marker | difficult | uhhhhhhhhhh (Start in Goiky)
Pastel Feather | difficult | how silly (Start in Goiky)
The First Frame | difficult | yeah, i know, she was so surprised (Start in Goiky)
Touch-Tone | difficult | real!!! (Start in Goiky)
Puffball | difficult | i believe i (can't) fly (Hidden in Goiky)
Four | difficult | outside of something. (Start in Goiky)
Demonic Painting | unforgiving | what a joyous painting! (Made by Ohlegess) (Start in Goiky)
Gumbally | unforgiving | someone put their gum under the table.... of course (Start in Goiky)
Lampy | unforgiving | don't ask why this one is insane difficulty (Start in Goiky)
Monarch | unforgiving | why is it called a monarch why why wh (Start in Goiky)
Salt Lamp | moderate | salti lampi (Start in Goiky)
Spike Ball | unforgiving | don't like moving forests? then maybe you'd like this (Start in Goiky)
Sun | unforgiving | wait.. the SUN?!?!? (Hidden in Goiky)
Two | insane | invisible platforms are cool. (Start in Goiky)
X | insane | kick down something... (Start in Goiky)
Yoyle Pie | difficult | a delicate meal enjoyed by everyone... except king cake (Start in Goiky)
Black Marker | difficult | how does an object simply noclip through reality? (Start in Spawn)
SilvaGunner | remorseless | GRAND DAD?!? (Start in Goiky)

=== HOTEL ===

Bomby | effortless | explode! (Hidden at Hotel)
Bushy | effortless | haha, nice try! but you arent fooling anyone. (Hidden at Hotel)
Fishy | effortless | we're surrounding by fish, you know what that means? FISH!!!!!! (Hidden at Hotel)
Jaiden | effortless | woof (Hidden at Hotel)
Marble Bottle | effortless | how joyous (Hidden at Hotel)
Marker | effortless | playin toss the dirt (Hidden at Hotel)
Milli | effortless | bark (Hidden at Hotel)
Pistachio | effortless | it looks like a pear inside an egg (Hidden at Hotel)
Water Bottle | effortless | water bottle is here to save the day!! (Hidden at Hotel)
Birdhouse | easy | nature is epic.............. (Hidden at Hotel)
Popcorn | easy | give me some of that popcorn (Hidden in Hotel)
Spunce | easy | what is this thing even supposed to be? (Hidden at Hotel)
Space Book | moderate | haha i have no idea what to put here (Hidden at Hotel)
Cranberry | moderate | i dont like cranberry (Hidden in Hotel)
Fall Leafy | moderate | find a way up a tree (Hidden at Hotel)
Foldy | moderate | oh god shes falling! (Hidden at Hotel)
Hammer | moderate | do you think the person who invented hammers was eating a ham sandwich at the time? sorry just trying to make a bad joke (Hidden at Hotel)
Hot Dog | moderate | hidden besides a structure (Hidden at Warehouse)
Lip Gloss | intermediate | check behind vases (Hidden in Hotel)
Modern Art | moderate | this and lollipop's scribble are pieces of art (Hidden in Hotel)
Pixelated Heart | intermediate | i wonder what that heart is doing (Hidden at Hotel)
Davidworm | intermediate | i wish i lived in a timeline where this didnt exist (Hidden at Hotel)
RoboBoi | moderate | put on these glasses, and you'll ent- hey wait didn't i already make that joke? (Hidden in Hotel)
Air | hard | everyone give a round of applause to our 5th nonexisty (Hidden at Hotel)
Minty | hard | people who actually like mint are crazy and you should stay as far away from them as possible (Hidden at Hotel)
Peanut Butter | hard | what? only 96 chocolate balls?? OUTRAGEOUS!! (Hidden at Hotel. Find four chocolate balls around the map)
Fruit Cake | effortless | they're chilling near the hotel
Geode | insane | Just another hump of trash in the sewers.(Start at Hotel)

=== JUNGLE ===

Lotus Flower | effortless | Placeholder description i'll probably forget to change it but it's funnier like this (Hidden in Jungle)
Mortar | effortless | Ever watch Brick and Mortar? (Hidden in Jungle) (Made by ThirteenthJade)
Fire Citrus | easy | HOT HOT HOT!!! (Hidden in Jungle)
Green Egg | normal | look inside of the jungle
Hexagon | normal | if only hexagon was invented in latin (Hidden in Jungle)
Snake | normal | be careful of the lurking jungle snakes
Taco Guy | normal | it's not taco, it's taco guy, get it right (Hidden in Jungle)
Beanie | moderate | look inside of a bush (Hidden in Jungle)
Flower Crown | intermediate | i don't know what to make the description, but to be fair i never do (Hidden in Jungle)
Green Rocky | intermediate | green rocky!!! do the thing!!! HOW COULD THIS HAPPEN?!?!? (Hidden in Jungle)
Shuriken | moderate | i'm a ninja!! (Hidden in Jungle)
Awesome Face | normal | not quite epic, but still awesome (Hidden in Jungle)
Banana | intermediate | same deal as pasty (Hidden in Jungle)
Pasty | normal | is this supposed to be pasta (Hidden in Jungle)
Sandwich Roll | easy | on top of a giant plant (Hidden in Jungle)
Funny Plant | effortless | Have you accidentally killed a plant and want to revive it? Then why don't you set it on fire? And then freeze it? Let it grow on the sun? Or zap it? Make it a fancy dinner? Or feed it to a fish monster? Or push it off a cliff? Dance on it? Explode it? Vomit on it? Play with it underwater?
Slide Man | hard | look at em go (Hidden in Jungle)
One Way Sign | difficult | i have nothing for this one i genuinely don't (Hidden in Jungle)
Leafy Jr. | unforgiving | if there is a leafy jr. then what would evil leafy jr. look like? (Hidden in Jungle)
Green Square | extreme | (Hidden in Jungle)
Pixely | extreme | don't worry it's not actually the size of a pixel (Hidden in Jungle)
Yellow Watermelon | difficult | ceritifed materwelon (Hidden in Jungle)
Taco With Tophat | extreme | what a fancy taco (Hidden in Jungle)
Peanut | unforgiving | look inside of the jungle trees

=== NUMBER PLAYGROUND ===

Clock | effortless | tick... tock... tick... tock... ringalingalingaling (Hidden in Number Playground)
Eight | effortless | on the top of a hill (Hidden in Number Playground)
Five | effortless | hanging out with three (Hidden in Number Playground)
Pin | effortless | guess what pin? you won a win token! (Hidden in Number Playground)
Sandcastle | effortless | playing in the sand (Hidden in Number Playground)
Ten | effortless | jacknjelifys 1 million subscribers! (Hidden in Number Playground)
Three | effortless | hanging out with five (Hidden in Number Playground)
Atom | easy | it's right there (Hidden in Number Playground)
Crayon | easy | on a piece of paper (Hidden in Number Playground)
Fourteen | normal | they're a little silly (Hidden in Number Playground)
Ball | normal | looks they got bounced up too high... they landed straight onto a tree! (Hidden in Number Playground)
Nine and Six Combined | normal | jacknjellify knew exactly what they were doing (Hidden in Number Playground)
One | moderate | most forgettable number in bfb. i am writing this two years later to say that this didn't age well (Hidden in Number Playground)
Acacia Tree | moderate | literally stuck in a tree (Hidden in Number Playground)
Toilet Paper | moderate | they will not know the trauma of being used (Hidden in Number Playground)
Four and X | intermediate | it isn't a badge hunt game without a cliche teamwork one (Hidden in Number Playground)
Seven | intermediate | not what you think it is... (Hidden in Number Playground... or is it?)
V | normal | ectored (Hidden in Number Playground)

=== SNOWY ===

Bacon | effortless | right next to a fire (Hidden in Snowy)
Gaty | effortless | wonder where she is being used for? (Hidden in Snowy)
Hot Cocoa | effortless | i tried hot cocoa a few months ago i didnt like it. man, these descriptions have devolved into just personal stories haven't they? (Hidden in Snowy)
Ice Woody | effortless | how did they combine the two? (Hidden in Snowy)
Icey | effortless | basically ice cube but a fine lady (Hidden in Snowy)
Naily | effortless | dont touch that spike! (Hidden in Snowy)
Saw | effortless | whats she doing cutting that tree? (Hidden in Snowy)
Selfie Dog | effortless | what do they like to do? (Hidden in Snowy)
Snare Drum | effortless | touch them! (Hidden in Snowy)
Snowman | effortless | come to think of it... how do these snowmen not even melt? (Hidden in Snowy)
Trombone | effortless | right above snare drum (Hidden in Snowy)
Woody | effortless | where you think he is. (Hidden in Snowy)
Ornament | easy | it's an ornament, yep. sorry i dont really have anyrthing to say (Hidden in Snowy)
Bracelety | normal | watching ice cube is fun. (Hidden in Snowy)
Happy Birthday Card | moderate | it still isn't your birthday (Hidden in Snowy)
Charcoal | moderate | in a place full of fire and heat (Hidden in Snowy)
Vibe Check X | moderate | looks like you're going to the E.X.I.T. realm jimbo (Hidden in Snowy)
Hailairhous | difficult | asdpisdau9u1jxjzkjf'sdaidps (Hidden in Snowy)
Gashapon Capsule | extreme | im (Hidden in Snowy)

=== TROPICAL ISLANDS ===

Burrito | effortless | i've always had a soft spot for burritos (Hidden in Tropical Islands)
PaintyBook | effortless | where i keep my masterpieces (Hidden in Tropical Islands)
Pickle Juice | easy | they really just need a moment to rethink their lifefe decisions (Hidden in Tropical Islands)
Spongy | easy | sitting on the plane! (Hidden in Tropical Islands)
Amethysty | normal | cool, i guess (Hidden in Tropical Islands)
Bowl of Petunias | moderate | mmmmm... delicious... you ever just eat a bowl of flowers (Hidden in Tropical Islands)
Well | intermediate | oh well (Hidden in Tropical Islands)
Orange Cat | difficult | what a silly little guy (Hidden in Tropical Islands)
Boaty | difficult | this is a VERY clutch jump (Hidden in Tropical Islands)
Tropical Virtual Pet Lizard | difficult | oddly specific but ok (Hidden in Tropical Islands)
Win Token | difficult | this object is SLOP. (Start in Tropical Islands)

=== WAREHOUSE ===

First Aid Kit | effortless | i don't quite understand why they're at the warehouse of all places
RCTI Cast | effortless | aha yes i know what rcti is it's uhh uhhhhh ermmm uh uhhhh (Hidden at Warehouse)
X the Arcade Machine | effortless | SPOOOOOKY arcade machine!!! just in time for halloween (Hidden in Warehouse)
Baking Soda | normal | how tasty (Made by lowk3y_TJ) (Start in Warehouse)
Clown Car | easy | go ahead, get in the clown car, you know it suits you (Hidden at Warehouse)
Greeny | easy | ball 2: the sequel (Hidden at Warehouse)
Meat Cube | normal | wall flicking, how fun! (Hidden at Warehouse)
Screen Door | easy | look inside the warehouse
Carrot | moderate | CARROT!!! (Hidden in Warehouse)
Dreidel | moderate | they go spin (Hidden in Warehouse)
Good Rhombicosidodecahedron | intermediate | he wants to be just like his father! [start in warehouse]
Knifeball | intermediate | they give out terrible advice alphabetically (Hidden in Warehouse)
Dollar Bill | intermediate | look inside of a bush (Hidden at Warehouse)
Giant Tree | hard | it's a giant tree (Start at Warehouse)
Halporhini Cube | hard | that's a weird looking cube (Start in Warehouse)
Rollarskate | hard | A pair of skates so cool that they don't even follow the laws of physics. (Hidden at Warehouse)
Microphone | moderate | mic up (Hidden in Warehouse)
Fire | difficult | don't let them get anywhere near that world ending bomb... oh for petals sake (Hidden in Warehouse)
Function | difficult | i am dearly sorry for where i put this one (Hidden at Warehouse)
Clover | normal | sticking out of a bush [Hidden at Warehouse]
Buh | insane | hey guys, it's me, buh! and welcome... to the buh-ly object show! (Start in Warehouse)
Zombie Barf Bag | unforgiving | find a wrench to unlock access to the sewers

== REALMS ==

== Backrooms ==
[Objects from Backrooms.txt]

== Baren Desert ==
[Objects from BarrenDesert.txt]

== Classic Paradise ==
[Objects from ClassicParadise.txt]

== Evil Forest ==
[Objects from EvilForest.txt]

== Frozen World ==
[Objects from FrozenWorld.txt]

== Inverted Realm ==
[Objects from InvertedRealm.txt]

== Magma Canyon ==
[Objects from MagmaCanyon.txt]

== Midnight Rooftops ==
[Objects from MidnightRooftops.txt]

== Sakura Serenity ==
[Objects from SakuraSerenity.txt]

== Timber Peaks ==
[Objects from TimberPeaks.txt]

== Yoyle Factory ==
[Objects from YoyleFactory.txt]

== Yoyleland ==
[Objects from Yoyleland.txt]

== BF1D ==
[Objects from BF1D.txt]

== Cherry Grove ==
[Objects from CherryGrove.txt]

== Polluted Marshlands ==
[Objects from PollutedMarshlands.txt]
