== ALL OBJECTS ==
American Flag | effortless | this donut shop is america-certified. LAND OF THE FREEE BABY!!!!!!!! (Hidden in City)
Lotus Flower | effortless | Placeholder description i'll probably forget to change it but it's funnier like this (Hidden in Jungle)
Marble Bottle | effortless | how joyous (Hidden in Hotel)
Marker | effortless | playin toss the dirt (Hidden at Hotel)
Match | effortless | the freesmart van noooo!! (Hidden in Factory)
Milli | effortless | bark (Hidden in Hotel)
Mortar | effortless | Ever watch Brick and Mortar? (Hidden in Jungle) (Made by ThirteenthJade)
Naily | effortless | dont touch that spike! (Hidden in Snowy)
Noodle Cup | effortless | I am truthfully in tears from this series of events that has caused this exquisite noodle cup to be thrown onto the ground without explicit realization.
Orange | effortless | [Hidden in the Yoyleland Realm]
PaintyBook | effortless | where i keep my masterpieces (Hidden in Tropical Islands)
Pillow | effortless | sleeping. (Hidden in Goiky)
Pin | effortless | guess what pin? you won a win token! (Hidden in Number Playground)
Pineapple | effortless | who lives in a pineapple under the sea? (Hidden in Fossil Falls)
Pistachio | effortless | it looks like a pear inside an egg (Hidden at Hotel)
Pi±ata | effortless | it's on a tree, that's basically all you need to know
Prince Circle | effortless | what did they do to him (Hidden in Tropical Islands)
Pumpkin | effortless | behind a tree (Hidden in Goiky)
Purple Girl with Wind Hair and Angry Eyes | effortless | best character in bfb moment (Hidden in Candyland)
RCTI Cast | effortless | aha yes i know what rcti is it's uhh uhhhhh ermmm uh uhhhh (Hidden at Warehouse)
Robot Teardrop | effortless | being manufactured at the factory
Rusty Coin | effortless | im broke, buy my stuff. (Hidden in Desert)
Sandcastle | effortless | playing in the sand (Hidden in Number Playground)
Saw | effortless | whats she doing cutting that tree? (Hidden in Snowy)
Scissors | effortless | not sure if you can really just cut a tree down like that (Hidden in Floating Island)
Selfie Dog | effortless | what do they like to do? (Hidden in Snowy)
Shopping Cart | effortless | shopping for stuff! (Hidden in City)
Snare Drum | effortless | touch them! (Hidden in Snowy)
Snowman | effortless | come to think of it... how do these snowmen not even melt? (Hidden in Snowy)
Sotp Sign | effortless | JUST STOP IT. (Hidden in City)
Stapy | effortless | hangin out with marker (Hidden at Hotel)
Strawberry | effortless | they're enjoying a nice feast (Hidden in Goiky)
Ten | effortless | jacknjelifys 1 million subscribers! (Hidden in Number Playground)
Tent | effortless | who gave the tent boxing gloves (Hidden in Classic Roblox)
Three | effortless | hanging out with five (Hidden in Number Playground)
Traffic Cone | effortless | these inanimate objects are getting out of hand (Hidden in City)
Tree | effortless | Im a tree, im a tree. (Hidden in Goiky)
Trombone | effortless | right above snare drum (Hidden in Snowy)
Vote | effortless | vote using the square brackets! [C] for Blob (Hidden at Factory)
Water Bottle | effortless | water bottle is here to save the day!! (Hidden at Hotel)
Woody | effortless | where you think he is. (Hidden in Snowy)
X the Arcade Machine | effortless | SPOOOOOKY arcade machine!!! just in time for halloween (Hidden in Warehouse)
Zero | effortless | next to ten
8 Inch Floppy Disk | easy | haha i didnt make it 8 inches what will you do about it (Hidden in Classic Roblox)
Announcer | easy | flying with his ufo! (Hidden in City)
Apple | easy | hey apple! KNIFE!!! oh and this is near spawn
Arron | easy | arron my beloved (Hidden in Classic Roblox)
Atom | easy | it's right there (Hidden in Number Playground)
Avocado | easy | blending in! (Hidden in City)
Baby | easy | WAHHHH!!! WAHHHH!!!!! I NEED MILK!!!!!!!!!!! (Hidden In City)
Bag of Sand | easy | [Hidden in the Barren Desert Realm]
Banana Apple | easy | sitting on a tree... (Hidden in Goiky)
Barry | easy | ourple (Hidden in Fossil Falls)
BF1D Carrot | easy | [Hidden in the BF1D Realm]
Birdhouse | easy | nature is epic.............. (Hidden at Hotel)
Blocky | easy | In an area he probably shouldn't be in. What a delinquent. (Start in Goiky)
Bow And Arrow | easy | [Hidden in the Barren Desert Realm]
Bozo | easy | hiding behind a vase (Hidden in City)
Car Door | easy | good thing you can't thlam your- (Hidden in City)
Cheese Orb | easy | [Hidden in the Barren Desert Realm]
Churro | easy | [Hidden in the Barren Desert Realm]
Clown Car | easy | go ahead, get in the clown car, you know it suits you (Hidden at Warehouse)
Club | easy | (Hidden in Factory)
Conch Shell | easy | for someone in the desert area, they look pretty rad
Cookie | easy | hidden in profiley's room, maybe because they store profiley's passwords. get it?
Crayon | easy | on a piece of paper (Hidden in Number Playground)
Curly Arrow | easy | [Hidden in the Barren Desert Realm]
Dane | easy | hey (Hidden in City)
Dime | easy | golf ball dropped her dime (Hidden in Goiky)
Discy | easy | perhaps it's a disc to a game?
Donut | easy | being served as food... wuh oh (Hidden in City)
Euro | easy | how much will it cost? not even a euro. (Hidden in Fossil Falls)
Evil Marker | easy | he doesn't want to play toss the dirt anymore (Hidden in Floating Island)
Fire Citrus | easy | HOT HOT HOT!!! (Hidden in Jungle)
Fish | easy | blub blub blub (Hidden in Classic Roblox)
Fork Repellenty | easy | dropped on the floor (Hidden in Factory)
Grape | easy | [Hidden in Yoyleland]
Greeny | easy | ball 2: the sequel (Hidden in Warehouse)
Hole in the Wall | easy | look for, well, a hole in the wall
Jetpacky | easy | In what situation could you POSSIBLY need a jetpack in a Warehouse for? This is the actual hint (Made by DrPepperHeinz)
Konpeito Jar | easy | excuse me, a what jar?? (Hidden in City)
Lamp Post | easy | "i'm seeing double!" that was  their last word (Hidden in City)
Lewis | easy | [Hidden in the Yoyleland Realm]
Lightning Cherry | easy | hidden on a board
Limbless Pin | easy | How did she manage to get on there without limbs? (Hidden in Floating Island)
Lollipop Plush | easy | [Hidden in the Yoyleland Realm]
Loser | easy | sitting in his throne. (Hidden in City)
Magic Conch | easy | [Hidden in the Barren Desert Realm]
Magician Hat | easy | everyone knows the famous spell, "yaba daba doo" (Hidden in Classic Roblox)
Mochi | easy | mochji (Hidden in City)
Needle | easy | needle in a haystack, how original (Hidden in Goiky)
Nickel | easy | on the ground somewhere.
Ninja Woody | easy | The suspiciously Woody shaped hole:
Orb | easy | floating orb, floating island
Ornament | easy | it's an ornament, yep. sorry i dont really have anyrthing to say (Hidden in Snowy)
Pandora Book | easy | [Hidden in the Yoyleland Realm]
Pearl | easy | look inside of a clump of cotton candy
Pickle Juice | easy | they really just need a moment to rethink their lifefe decisions (Hidden in Tropical Islands)
Piney | easy | what do you think pinecones are on?
Popcorn | easy | give me some of that popcorn (Hidden in Hotel)
Postcard | easy | [Hidden in the BF1D Realm]
Profiley | easy | pictures be like (Start in Goiky)
Ring | easy | [Hidden in the BF1D Realm]
Roboty | easy | my brain keeps "resetting"
Ropey | easy | they're such a silly slithering little rope (Hidden in Goiky)
Rose | easy | bumblebees are out! (Hidden in City)
Rubber Spatula | easy | being sad at the death of a group. (Hidden in Goiky)
Sand | easy | behind something in the sand
Sand Clock | easy | [Hidden in the Barren Desert Realm]
Sandwich Roll | easy | on top of a giant plant (Hidden in Jungle)
SaulStories | easy | My Name is Saul and THese Are My Sttories. Watch Evan the Wolf! (Made by Meowbah)
Screen Door | easy | look inside the warehouse
Spongy | easy | sitting on the plane! (Hidden in Tropical Islands)
Spunce | easy | what is this thing even supposed to be? (Hidden at Hotel)
Stickman | easy | [Hidden in the BF1D Realm]
Stocking | easy | [Hidden in the BF1D Realm]
Sun Spray | easy | in an area where you need it most (not tropical islands though)
Swappy | easy | [Hidden in the Yoyleland Realm]
Swing | easy | does this even remotely resemble a swing?? (Hidden in Classic Roblox)
Tape | easy | they're in a "sticky" situation! im not funny (Hidden in City)
Teardrop | easy | something water perhaps.
Tophat | easy | very fancy (Hidden at Factory)
TV | easy | hiding under a flight of stairs
UFO | easy | did you know the population of jupiter is 60,802 (Hidden in Factory)
Unpainted Gaty | easy | [Hidden in the Yoyleland Realm]
Wish | easy | get up there and make a wish! (Hidden in City)
Xmas Light | easy | (Hidden in Fossil Falls)
a | moderate | aaaaaaaa (Hidden in Desert)
A Duck | moderate | who doesnt play with them in the bath? (Hidden in Goiky)
A Tree | moderate | [Hidden in the Yoyleland Realm]
Acacia Tree | moderate | literally stuck in a tree (Hidden in Number Playground)
Awesome Diamond | moderate | The more easy objects I add, the easier it gets to reach the 1000 medal, right? This is an actual hint btw
Barf Bag | moderate | Contemplating life: multifaceted in many ways yet following a pattern. Amidst a wave of ingenuity, compassion, creativity, and an ever increasing population of souls destined to part from this mortal plane or live on forever as memories. Life can best be defined as a dance of ideals and limitations. Nobody is perfect; neither you or me or ANYONE in this whole planet can call themselves flawless. While we may fight for our beliefs, it is important to remember that we all share the same basic components and should respect the beliefs of others instead of fighting because of them. Why barf bag of all objects to contain such a description like this? I don't know, I just felt like it. Expect more of these in the future I guess. Since you read all of this, Barf Bag is located on one of the museum's pillars. You'll need to get on top of the Library to reach. (Hidden in City)
Beanie | moderate | look inside of a bush (Hidden in Jungle)
Bermuda | moderate | make sure you don't get sucked in by them (Start in Classic Roblox) (Made by AccountDoesNothing)
Bowl of Petunias | moderate | mmmmm... delicious... you ever just eat a bowl of flowers (Hidden in Tropical Islands)
Canadian Flag | moderate | it still looks better than the canadian flag in r/place (Hidden in Classic Roblox)
Carrot | moderate | CARROT!!! (Hidden in Warehouse)
Carrot Cake | moderate | [Hidden in the Yoyleland Realm]
Charcoal | moderate | in a place full of fire and heat (Hidden in Snowy)
Cheesy Mayo | moderate | it's mayo... but CHEESY OOOokay so now it makes sense why they are right next to a dumpster (Hidden in City)
Chicken Nugget | moderate | do you want free chicken nuggets (Hidden in Classic Roblox. Start at Hotel.)
Choo Choo The Train | moderate | [Hidden in the Yoyleland Realm]
Clip | moderate | clipped onto a frame (Hidden in Desert)
Cloudy | moderate | Jump on a few platforms (Hidden in Goiky)
Coiny | moderate | the opposite of where nickel was (Hidden in Goiky)
Compass | moderate | Id suggest checking paper, but who knows lol
Computer Mouse | moderate | this one is actually not where you'd expect it to be (Hidden in Classic Roblox)
Cotton Candy | moderate | those are some nice looking cotton candy trees
Cranberry | moderate | i dont like cranberry (Hidden in Hotel)
Crazy Needle | moderate | At the end of the rainbow.
Crumbley | moderate | nice roof (Hidden in Factory)
Dreartop | moderate | [Hidden in the Yoyleland Realm]
Dreidel | moderate | they go spin (Hidden in Warehouse)
Duffel Bag | moderate | yeah (Hidden in Fossil Falls)
Electric Guitar | moderate | ah yes the void (Hidden in Floating Island)
Eraser | moderate | he's still climbing that string (Start in Goiky)
Ethernet Splitter | moderate | he's an ethernet splitter while this game is your internet splitter! (Hidden in Factory)
Fall Leafy | moderate | find a way up a tree (Hidden at Hotel)
Firey Plush | moderate | totally not hiding behind a cactus
Foldy | moderate | oh god shes falling! (Hidden at Hotel)
Football Player | moderate | somebody left their helmet somewhere
Four Plush | moderate | why wont people buy him?? (Hidden in City)
Glue | moderate | why would you handstand in glue??? (Hidden in Desert)
Hammer | moderate | do you think the person who invented hammers was eating a ham sandwich at the time? sorry just trying to make a bad joke (Hidden at Hotel)
Happy Birthday Card | moderate | it still isn't your birthday (Hidden in Snowy)
Hot Chocolate | moderate | obviously someone would want this during the cold
Hot Dog | moderate | hidden besides a structure (Hidden at Warehouse)
Isabella | moderate | i don't get it... it's just a purple ball (Hidden in Classic Roblox)
Jacknjellify | moderate | WHAT (Hidden in Floating Island)
Jordan | moderate | inside a restaurant, hmm i wonder which one...
Keytar | moderate | rock away little keyboard guy!!!! (Hidden in Classic Roblox)
King Pen | moderate | you were probably expecting me to make king pen one of the hardest objects in the game, but no all you get is a normal difficulty (Hidden in City)
Kitchen Sink | moderate | look for some bathroom stalls, which is weird since they are a kitchen sink
Leafy Plush | moderate | someone lost their plushie at home
Leek | moderate | behind a tree (Hidden in Floating Island)
Metal Ball | moderate | [Hidden in the Yoyleland Realm]
Microphone | moderate | mic up (Hidden in Warehouse)
Modern Art | moderate | this and lollipop's scribble are pieces of art (Hidden in Hotel)
Mr. Fish | moderate | fishes... fisHES... FISHESS!!
One | moderate | most forgettable number in bfb. i am writing this two years later to say that this didn't age well (Hidden in Number Playground)
Paint Palette | moderate | it's in something pink..
Pen | moderate | on a table, being used as a regular item.
Pencil | moderate | find a paper on the ground and click on it.
Price Tag | moderate | the roofy roof was a cool roof.
Puppet | moderate | behind a door somewhere
Puzzle Piece | moderate | on a table or a shelf...
Rainbow | moderate | check on the rainbow at floating island
Rainbow Puppy | moderate | yay puppeee (Hidden in Floating Island)
RoboBoi | moderate | put on these glasses, and you'll ent- hey wait didn't i already make that joke? (Hidden in Hotel)
Runner Up | moderate | [Hidden in the Yoyleland Realm]
Rutabaga | moderate | (Hidden in Classic Roblox)
Salt Lamp | moderate | salti lampi (Start in Goiky)
Science Book | moderate | wall wraparound moment (Hidden in Floating Island)
Shuriken | moderate | i'm a ninja!! (Hidden in Jungle)
Smokebox | moderate | Click a suspicious button in a place that sells food.
Sock | moderate | all alone under the bed (Hidden in Floating Island)
Space Book | moderate | haha i have no idea what to put here (Hidden at Hotel)
Spray Bottle | moderate | (Start in City)
Steamy | moderate | oh no, a cloudy ripoff!! (Hidden in Goiky)
Sticker | moderate | you'll never be able to beat this one!!! ruahahahahahahaha!!!!!!!!!!!! (Start in Desert) (Made by 0OFunkyPurple)
Sugar Cube | moderate | well, there's only one way on that lollipop
Taco | moderate | reference to bfb 29 (Hidden in Goiky)
Toilet Paper | moderate | they will not know the trauma of being used (Hidden in Number Playground)
VHSy | moderate | go back to the 80's where you belong! (Hidden in City)
Vibe Check X | moderate | looks like you're going to the E.X.I.T. realm jimbo (Hidden in Snowy)
Waffle | moderate | todays menu! waffle..? (Hidden in City)
Wallet | moderate | gee, sure hope no one will steal this wallet in the headquarters! (Hidden in City)
Watermelon Slice | moderate | tree climbing simulator (Hidden in Fossil Falls)
Winner | moderate | somewhere near loser where i wont tell
Yo-Yo | moderate | right next to a mouse hole (Hidden in Factory)
Zipper | moderate | they're so little (Hidden in Classic Roblox)
8-Ball | normal | What is the thing on his head? (say in chat)
9-Ball | normal | near their twin
Aloe Vera | normal | [Hidden in the Yoyleland Realm]
Amethysty | normal | cool, i guess (Hidden in Tropical Islands)
Awesome Face | normal | not quite epic, but still awesome (Hidden in Jungle)
Bababa | normal | [Hidden in Magma Canyon realm]
Baking Soda | normal | how tasty (Made by lowk3y_TJ) (Start in Warehouse)
Ball | normal | looks they got bounced up too high... they landed straight onto a tree! (Hidden in Number Playground)
Balloony | normal | try jumping off of a high building to it (Hidden in City)
Bally | normal | every sport needs a ball! i don't think this is the right type
BFDI Marker | normal | funny how this is the 3rd marker-related object in the game (Hidden in Classic Roblox)
Bitty | normal | what is an area that's very retro-like?
Blender | normal | click a poster that totally isnt about a blender
Block Party | normal | [Hidden in Magma Canyon realm]
Blue Gelatin | normal | [Hidden in the Yoyleland Realm]
Bottle | normal | yoo check out that big R! (Hidden in City)
Bracelety | normal | watching ice cube is fun. (Hidden in Snowy)
Brownie | normal | [Hidden in the Yoyleland Realm]
Butter | normal | This is Butter. From This game. (Hidden in City)
Buzzsaw | normal | It's everyone's favourite object, Bu- hey wait... what are they doing here?! (Hidden in Factory, made by
Can of Black Olives | normal | [Hidden in the Barren Desert Realm]
Car Engine | normal | vroom (Hidden in City)
Cardboard | normal | [Hidden in the Barren Desert Realm]
Cave Drawing | normal | a drawing to be forgotten (Hidden in Factory)
cheese | normal | i should have never put custom avatars into the ultra mega fart donation perks (this is a repeat of fredster's description) (Start in Warehouse)
Cheese Slice | normal | [Hidden in the Barren Desert Realm]
Chestnut | normal | (Hidden in Fossil Falls)
Chocolate Bar | normal | i'll let you figure this one out on your own
Clover | normal | sticking out of a bush [Hidden at Warehouse]
Cologne | normal | think about it, where are you gonna go when you need to find cologne?
Cookie Pizza | normal | ... maybe it's a good thing they're hidden... (Hidden in Classic Roblox)
Dark Gemstone | normal | chilling at the peak of the fossil falls (Made by 3RR0R_B0I)
Domino | normal | in the yellow face warehouse
Drinky Bird | normal | Hidden in City
Ellipsis | normal | [Hidden in the Barren Desert Realm]
Fettuccine | normal | the first floating island update in one million years (Hidden in Floating Island) (Made by lowk3y_TJ)
Firey Jr. | normal | in fire?
Firey Jr. Jr. | normal | [Hidden in the Barren Desert Realm]
Flag | normal | [Hidden in the BF1D Realm]
Fourteen | normal | they're a little silly (Hidden in Number Playground)
gas can | normal | [Hidden in Magma Canyon realm]
Green Egg | normal | look inside of the jungle
Hazelnut | normal | [Hidden in the Barren Desert Realm]
Hexagon | normal | if only hexagon was invented in latin (Hidden in Jungle)
Johnson | normal | [Hidden in the Barren Desert Realm]
Kabab | normal | look beneath fries' table (Hidden in City)
Leaf | normal | [Hidden in the BF1D Realm]
Lemonade | normal | this lemonade is minging (Hidden in Desert)
Lightning | normal | up in the sky (Hidden in Goiky)
Lollipop | normal | that lollipop is tasty!
Meat Cube | normal | wall flicking, how fun! (Hidden in Warehouse)
Metal Scrap | normal | more like uhh... metal CRAP. i am a little #edgy (Made by FunkyPurple) (Start in Floating Island)
Milkshake | normal | (Start  in Candyland)
Nine and Six Combined | normal | jacknjellify knew exactly what they were doing (Hidden in Number Playground)
Pasty | normal | is this supposed to be pasta (Hidden in Jungle)
Plump Dog | normal | plump th dog (Hidden in Desert)
Pop Tart | normal | just being a pop tart (Start in Candyland)  (Made by cluxser2)
Purple Dragon | normal | that foolish dragon (Hidden in Fossil Falls... you can almost definitely see it.)
Robot Flower | normal | behind something, i aint telling you what. (Hidden in Factory)
Robot Woody | normal | [Hidden in the Barren Desert Realm]
Rocky | normal | Can someone PLEASE help him get out!? He's being a pest. (Hidden in City)
Ruby | normal | check inside the factory area
S'mores Milkshake | normal | smores are yummy and milkshakes are yummy, so why not? (Hidden in Classic Roblox)
Seaweed | normal | find a group of seaweed on the corners of the map (Made by Ohlegess)
Slug | normal | MAKE IT STOP (Hidden in Desert)
Snake | normal | be careful of the lurking jungle snakes
Spongy's Mother | normal | [Hidden in Magma Canyon realm]
Stop Light | normal | [Hidden in the Yoyleland Realm]
Taco Guy | normal | it's not taco, it's taco guy, get it right (Hidden in Jungle)
Triangle | normal | why are they so mad what went wrong (Hidden in Classic Roblox)
Turkey | normal | [Hidden in Magma Canyon]
USB | normal | look behind a tree, not just any tree though (Hidden in City)
V | normal | ectored (Hidden in Number Playground)
Wicker Basket | normal | [Hidden in the Barren Desert Realm]
Banana | intermediate | same deal as pasty (Hidden in Jungle)
Bird | intermediate | hoot hoot tweet tweet (Hidden in Classic Roblox)
Blanket | intermediate | they going zzzzzzzz (Hidden in Goiky)
Blue Lion | intermediate | first yellow leopard, then red elephant, and now THIS? (Hidden in Floating Island)
Blue Shiny Coiny | intermediate | i've got my own style! (Start in Goiky)
Boom Mic | intermediate | (Start  in Candyland)
Bready | intermediate | me when the uhhh errr uhhh ummm bread (Hidden in City)
Cartridge | intermediate | find a cave
Chainsaw | intermediate | [Hidden in the Cherry Grove Realm]
Chanterelle | intermediate | ah yes the void (Hidden in Floating Island)
Cheddary | intermediate | [Hidden in the Cherry Grove Realm]
Chef David | intermediate | aw seriously? another david? (Hidden in Candyland)
Cherry Blossom | intermediate | [Hidden in the Cherry Grove Realm]
Clay | intermediate | [Hidden in the Backrooms]
Computer | intermediate | [Hidden in the Backrooms]
Crate | intermediate | what else is there that contains items? (Hidden in Desert)
David | intermediate | noclip into something unexpected
Davidworm | intermediate | i wish i lived in a timeline where this didnt exist (Hidden at Hotel)
Dollar Bill | intermediate | look inside of a bush (Hidden at Warehouse)
Fish Cracker | intermediate | [Hidden in the Yoyleland Realm]
Flower Crown | intermediate | i don't know what to make the description, but to be fair i never do (Hidden in Jungle)
Fortune Cookie | intermediate | someone dropped them on the floor (Hidden in City)
Four and X | intermediate | it isn't a badge hunt game without a cliche teamwork one (Hidden in Number Playground)
Genderfluid Book | intermediate | should have made this during pride month darn (Hidden in City)
Good Rhombicosidodecahedron | intermediate | he wants to be just like his father! [start in warehouse]
Green Rocky | intermediate | green rocky!!! do the thing!!! HOW COULD THIS HAPPEN?!?!? (Hidden in Jungle)
Guava | intermediate | [Hidden in the Cherry Grove Realm]
Idoit | intermediate | idoit will never be forgotten (Hidden in Goiky)
Knifeball | intermediate | they give out terrible advice alphabetically (Hidden in Warehouse)
Lantern | intermediate | [Hidden in the Cherry Grove Realm]
Lasery | intermediate | [Hidden in the Yoyleland Realm]
Lever | intermediate | complete an obby at the factory
Lip Gloss | intermediate | check behind vases (Hidden in Hotel)
Mail | intermediate | you've got mail (Hidden in Classic Roblox)
Meteor | intermediate | OH GOD WE'RE ALL GOING TO DIE!!!!!!!!!!!!! (Hidden in Classic Roblox)
Miku | intermediate | klaptai would be proud
Milli Book | intermediate |  (Start in Candyland)
Paragraph | intermediate | [Hidden in the Yoyleland Realm]
Pea | intermediate | did you eat your peas today (Hidden in Classic Roblox)
Pear Tree | intermediate | [Hidden in Classic Paradise]
Pixelated Heart | intermediate | i wonder what that heart is doing (Hidden at Hotel)
Remote | intermediate | that remote looks cool.
Ringy | intermediate | [Hidden in the Backrooms]
Sand Jar | intermediate | they definitely hate mondays (Hidden in Desert)
SD Card | intermediate | find an invisible path near planks of wood (Hidden at Factory)
Seven | intermediate | not what you think it is... (Hidden in Number Playground... or is it?)
Six | intermediate | they're alone in the sky (Start in Goiky)
Sketchpad | intermediate | [Hidden in the Yoyleland Realm]
Spoony | intermediate | why would you use them anyway? (Hidden in City)
Star Coin | intermediate | [Hidden in the Cherry Grove Realm]
Succulent | intermediate | THIS IS NOT HOW GRAVITY WORKS I THINK (Hidden in Floating Island)
Symbol | intermediate | this is the symbol of crying because you have to do spongezilla legit
Tabley | intermediate | Get up the difficulty chart.
Texas Donut | intermediate | something is off about where succulent is... (Hidden in Floating Island)
Violet | intermediate | In the greenhouse, with all of her siblings!
Well | intermediate | oh well (Hidden in Tropical Islands)
Yoylelite | intermediate | [Hidden in the Yoyleland Realm]
Air | hard | everyone give a round of applause to our 5th nonexisty (Hidden at Hotel)
Among Us X | hard | HI GELATIN (Start in City)
Bacon Bit | hard | [Hidden in the Barren Desert Realm]
Barf Molecule | hard | look in the city... something yellow
Beehive | hard | [Hidden in the Yoyleland Realm]
BF1D Ball | hard | [Hidden in the BF1D Realm]
Blob | hard | you need to vote for them, but how?
Bonsai | hard | [Hidden in Sakura Serenity]
Bowling Ball | hard | look inside seven's quiz room
Bright Radiant Plasma Needle | hard | Needle Family Reunion!
Broccoli | hard | [Hidden in Classic Paradise]
Bugspray | hard | [Hidden in Sakura Serenity]
Buzzer | hard | [Hidden in Classic Paradise]
Calculator | hard | i hope you're good at square root
Candy | hard | somewhere with a lot of candy
Candy Corn | hard | i am the ONLY ONE who actually likes candy corn???? (Start in Candyland)
Cary | hard | NO WAY IT'S CARY HIMSELF!!! (Hidden in Classic Roblox)
Cat | hard | taking stuck on a tree to the next level (Start in City)
Chocolate Chip | hard | find a code at candyland
Chocolate Pop | hard | this is literally just cake pop 2 (Hidden in Candyland)
Coffee Bean | hard | (Hidden in Fossil Falls)
Container | hard | [Hidden in Classic Paradise]
Cupcake | hard | [Hidden in Midnight Rooftops Realm]
Cursor | hard | [Hidden in Midnight Rooftops Realm]
Diskette | hard | gotta risk it for the diskette (Hidden in Factory)
Dragon Scale | hard | [Hidden in the Yoyleland Realm]
Eggy | hard | behind a shelf in the city
English Cream Cake | hard | on top of a fridge somewhere (Start in City)
Fire Melon | hard | [Hidden in the Barren Desert Realm]
Fire Spatula | hard | remember, x marks the spot!
Flour | hard | [Hidden in Magma Canyon realm]
Fossil | hard | click on a fossil somewhere...
Fridge | hard | that's it? IT'S JUST A FRIDGE?? (Start in City)
Fronk | hard | "I'm fronk! FTBC? UGH. More like Find the BUH. Winter disapproved." (Look below the water...)
Fruit Bowl | hard | [Hidden in Classic Paradise]
GameGo | hard | [Hidden in Classic Paradise]
Gear | hard | this definitely grinds my gears (Hidden in City)
Giant Tree | hard | it's a giant tree (Start at Warehouse)
Gifty | hard | find 5 gifts around the place and then find a bunch of gifts laying around at factory
Grapefruit | hard | [Hidden in Sakura Serenity]
Grapes | hard | [Hidden in Classic Paradise]
Halporhini Cube | hard | that's a weird looking cube (Start in Warehouse)
Hamburger | hard | [Hidden in Polluted Marshlands]
Ice Cube | hard | ice?
Irony | hard | insert joke about irony here (Hidden at Factory)
Jarry | hard | [Hidden in the Backrooms]
Jawbreaker | hard | find a way onto a lollipop (Hidden in Candyland)
k | hard | [Hidden in Sakura Serenity]
